county;state;fips;population;density
Baldwin;Alabama;1003;218022;1309
Calhoun;Alabama;1015;114277;18997
Chambers;Alabama;1017;33615;567
Cullman;Alabama;1043;83442;11201
Elmore;Alabama;1051;81887;13131
Franklin;Alabama;1059;31363;4976
Houston;Alabama;1069;104722;17997
Jackson;Alabama;1071;51736;4833
Jefferson;Alabama;1073;659300;59381
Lamar;Alabama;1075;13844;2304
Lauderdale;Alabama;1077;92387;13866
Lee;Alabama;1081;163941;26219
Limestone;Alabama;1083;96174;16618
Madison;Alabama;1089;366519;44606
Marion;Alabama;1093;29763;4037
Mobile;Alabama;1097;413757;33728
Montgomery;Alabama;1101;225763;28937
St. Clair;Alabama;1115;88690;13816
Shelby;Alabama;1117;215707;26915
Talladega;Alabama;1121;79828;10935
Tallapoosa;Alabama;1123;40497;5671
Tuscaloosa;Alabama;1125;208911;15601
Walker;Alabama;1127;63711;8151
Washington;Alabama;1129;16378;1541
Anchorage;Alaska;2020;291538;17371
Fairbanks North Star Borough;Alaska;2090;98971;1358
Juneau City and Borough;Alaska;2110;32113;1197
Kenai Peninsula Borough;Alaska;2122;58533;362
Ketchikan Gateway Borough;Alaska;2130;13918;284
Matanuska-Susitna Borough;Alaska;2170;107610;42
Apache;Arizona;4001;71818;639
Cochise;Arizona;4003;126770;2048
Coconino;Arizona;4005;142854;753
Graham;Arizona;4009;38072;819
Maricopa;Arizona;4013;4410824;46237
Navajo;Arizona;4017;110445;1092
Pima;Arizona;4019;1039073;111
Pinal;Arizona;4021;447138;7822
Santa Cruz;Arizona;4023;46511;3766
Yavapai;Arizona;4025;231993;2765
Yuma;Arizona;4027;212128;3769
Benton;Arkansas;5007;272608;30563
Boone;Arkansas;5009;37480;6318
Bradley;Arkansas;5011;10897;1686
Clark;Arkansas;5019;22061;2585
Cleburne;Arkansas;5023;24965;4557
Cleveland;Arkansas;5025;8018;1376
Craighead;Arkansas;5031;108558;14946
Crittenden;Arkansas;5035;48342;8038
Desha;Arkansas;5041;11512;1547
Faulkner;Arkansas;5045;124806;18895
Garland;Arkansas;5051;99154;14503
Grant;Arkansas;5053;18188;2863
Greene;Arkansas;5055;45325;7724
Independence;Arkansas;5063;37678;4878
Jefferson;Arkansas;5069;68114;8088
Lincoln;Arkansas;5079;13383;2439
Poinsett;Arkansas;5111;23974;3172
Polk;Arkansas;5113;20049;2351
Pope;Arkansas;5115;64000;7833
Pulaski;Arkansas;5119;392680;51788
Saline;Arkansas;5125;121421;16309
Searcy;Arkansas;5129;7958;1189
Sebastian;Arkansas;5131;127753;23963
Sevier;Arkansas;5133;17139;3042
Van Buren;Arkansas;5141;16603;2356
Washington;Arkansas;5143;236961;24261
Alameda;California;6001;1666753;222417
Amador;California;6005;39383;6362
Butte;California;6007;231256;13876
Contra Costa;California;6013;1150215;158289
El Dorado;California;6017;190678;10929
Fresno;California;6019;994400;16417
Humboldt;California;6023;136373;3805
Imperial;California;6025;181827;4315
Kern;California;6029;896764;10859
Los Angeles;California;6037;10105518;24885
Madera;California;6039;157672;7254
Marin;California;6041;259666;50027
Mendocino;California;6045;87606;2493
Monterey;California;6053;435594;13205
Napa;California;6055;139417;18778
Nevada;California;6057;99696;10346
Orange;California;6059;3185968;400242
Placer;California;6061;393149;27013
Riverside;California;6065;2450758;33071
Sacramento;California;6067;1540975;156537
San Benito;California;6069;61537;4279
San Bernardino;California;6071;2171603;10647
San Diego;California;6073;3343364;78515
San Francisco;California;6075;883305;1856181
San Joaquin;California;6077;752660;52627
San Luis Obispo;California;6079;284010;8533
San Mateo;California;6081;769545;170812
Santa Barbara;California;6083;446527;16224
Santa Clara;California;6085;1937570;148996
Santa Cruz;California;6087;274255;61497
Shasta;California;6089;180040;4743
Siskiyou;California;6093;43724;694
Solano;California;6095;446610;53364
Sonoma;California;6097;499942;31813
Stanislaus;California;6099;549815;36078
Tulare;California;6107;465861;9545
Ventura;California;6111;850967;46015
Yolo;California;6113;220408;21186
Yuba;California;6115;78041;11948
Adams;Colorado;8001;511868;42574
Arapahoe;Colorado;8005;651215;79773
Boulder;Colorado;8013;326078;44201
Broomfield;Colorado;8014;69267;200158
Chaffee;Colorado;8015;20027;1891
Clear Creek;Colorado;8019;9605;2373
Crowley;Colorado;8025;5858;715
Denver;Colorado;8031;716492;453213
Douglas;Colorado;8035;342776;39109
Eagle;Colorado;8037;54993;3227
Elbert;Colorado;8039;26282;1359
El Paso;Colorado;8041;713856;32356
Garfield;Colorado;8045;59770;1986
Grand;Colorado;8049;15525;816
Gunnison;Colorado;8051;17246;511
Hinsdale;Colorado;8053;811;79
Jefferson;Colorado;8059;580233;74643
La Plata;Colorado;8067;56310;3256
Larimer;Colorado;8069;350518;13026
Logan;Colorado;8075;21528;118
Mesa;Colorado;8077;153207;4506
Montrose;Colorado;8085;42214;1842
Morgan;Colorado;8087;28558;2207
Park;Colorado;8093;18556;793
Pitkin;Colorado;8097;17950;1845
Pueblo;Colorado;8101;167529;6902
Routt;Colorado;8107;25733;1053
San Miguel;Colorado;8113;8191;619
Summit;Colorado;8117;31007;5002
Teller;Colorado;8119;25083;4329
Weld;Colorado;8123;314305;7402
Yuma;Colorado;8125;10020;426
Fairfield;Connecticut;9001;943823;151122
Hartford;Connecticut;9003;892697;121716
Litchfield;Connecticut;9005;181111;19883
Middlesex;Connecticut;9007;162682;44237
New Haven;Connecticut;9009;857620;142156
New London;Connecticut;9011;266784;40441
Tolland;Connecticut;9013;150921;36876
Windham;Connecticut;9015;117027;22721
Kent;Delaware;10001;178550;29824
New Castle;Delaware;10003;559335;130226
Sussex;Delaware;10005;229286;23453
District of Columbia;District of Columbia;11001;702455;1121238
Alachua;Florida;12001;269956;30073
Baker;Florida;12003;28355;4748
Bay;Florida;12005;185287;2406
Bradford;Florida;12007;27732;9178
Brevard;Florida;12009;596849;56791
Broward;Florida;12011;1951260;157809
Charlotte;Florida;12015;184998;26012
Citrus;Florida;12017;147929;24598
Clay;Florida;12019;216072;34299
