fips	population	density
1003	218022	1309
1015	114277	18997
1017	33615	567
1043	83442	11201
1051	81887	13131
1059	31363	4976
1069	104722	17997
1071	51736	4833
1073	659300	59381
1075	13844	2304
1077	92387	13866
1081	163941	26219
1083	96174	16618
1089	366519	44606
1093	29763	4037
1097	413757	33728
1101	225763	28937
1115	88690	13816
1117	215707	26915
1121	79828	10935
1123	40497	5671
1125	208911	15601
1127	63711	8151
1129	16378	1541
2020	291538	17371
2090	98971	1358
2110	32113	1197
2122	58533	362
2130	13918	284
2170	107610	42
4001	71818	639
4003	126770	2048
4005	142854	753
4009	38072	819
4013	4410824	46237
4017	110445	1092
4019	1039073	111
4021	447138	7822
4023	46511	3766
4025	231993	2765
4027	212128	3769
5007	272608	30563
5009	37480	6318
5011	10897	1686
5019	22061	2585
5023	24965	4557
5025	8018	1376
5031	108558	14946
5035	48342	8038
5041	11512	1547
5045	124806	18895
5051	99154	14503
5053	18188	2863
5055	45325	7724
5063	37678	4878
5069	68114	8088
5079	13383	2439
5111	23974	3172
5113	20049	2351
5115	64000	7833
5119	392680	51788
5125	121421	16309
5129	7958	1189
5131	127753	23963
5133	17139	3042
5141	16603	2356
5143	236961	24261
6001	1666753	222417
6005	39383	6362
6007	231256	13876
6013	1150215	158289
6017	190678	10929
6019	994400	16417
6023	136373	3805
6025	181827	4315
6029	896764	10859
6037	10105518	24885
6039	157672	7254
6041	259666	50027
6045	87606	2493
6053	435594	13205
6055	139417	18778
6057	99696	10346
6059	3185968	400242
6061	393149	27013
6065	2450758	33071
6067	1540975	156537
6069	61537	4279
6071	2171603	10647
6073	3343364	78515
6075	883305	1856181
6077	752660	52627
6079	284010	8533
6081	769545	170812
6083	446527	16224
6085	1937570	148996
6087	274255	61497
6089	180040	4743
6093	43724	694
6095	446610	53364
6097	499942	31813
6099	549815	36078
6107	465861	9545
6111	850967	46015
6113	220408	21186
6115	78041	11948
8001	511868	42574
8005	651215	79773
8013	326078	44201
8014	69267	200158
8015	20027	1891
8019	9605	2373
8025	5858	715
8031	716492	453213
8035	342776	39109
8037	54993	3227
8039	26282	1359
8041	713856	32356
8045	59770	1986
8049	15525	816
8051	17246	511
8053	811	79
8059	580233	74643
8067	56310	3256
8069	350518	13026
8075	21528	118
8077	153207	4506
8085	42214	1842
8087	28558	2207
8093	18556	793
8097	17950	1845
8101	167529	6902
8107	25733	1053
8113	8191	619
8117	31007	5002
8119	25083	4329
8123	314305	7402
8125	10020	426
9001	943823	151122
9003	892697	121716
9005	181111	19883
9007	162682	44237
9009	857620	142156
9011	266784	40441
9013	150921	36876
9015	117027	22721
10001	178550	29824
10003	559335	130226
10005	229286	23453
11001	702455	1121238
12001	269956	30073
12003	28355	4748
12005	185287	2406
12007	27732	9178
12009	596849	56791
12011	1951260	157809
12015	184998	26012
12017	147929	24598
12019	216072	34299
12021	378488	18211
12023	70503	8664
12027	37489	5714
12031	950181	121259
12033	315534	47455
12035	112067	2207
12053	190865	38663
12055	105424	10043
12057	1436888	135156
12061	157413	30024
12063	48305	5282
12069	356495	35738
12071	754610	91608
12073	292502	43203
12081	394855	50321
12083	359977	21986
12085	160912	28996
12086	2761581	143094
12087	75027	7762
12089	85832	12423
12091	207269	21579
12095	1380645	146242
12097	367990	25509
12099	1485941	73424
12101	539630	68363
12103	975280	349846
12105	708009	37193
12107	74163	10001
12109	254261	39208
12111	321128	53432
12113	179349	16849
12115	426718	74144
12117	467832	147172
12119	128754	22123
12127	547538	47922
12131	71375	6347
13009	44823	17563
13013	80809	47962
13015	106408	22548
13021	153095	61455
13033	22423	2727
13035	24193	1288
13045	118121	23247
13047	67420	40885
13049	12968	1678
13051	289195	67313
13055	24790	792
13057	254149	57369
13059	127330	104532
13063	289615	19684
13065	6648	843
13067	756865	219425
13069	43093	747
13073	154291	50776
13077	145864	31871
13085	25083	11318
13089	756558	277742
13095	91243	27701
13097	145331	70896
13099	10247	2019
13103	62190	12286
13113	113459	57306
13115	97927	18988
13117	236612	98152
13121	1050114	194044
13127	85219	20006
13129	57685	15961
13135	927781	20965
13139	202148	49891
13145	34475	7241
13149	11879	3945
13151	230220	68702
13153	155469	4039
13171	19000	10089
13175	47325	5874
13177	29764	8249
13179	61497	1268
13181	7915	3707
13185	116321	23098
13187	32955	11293
13195	29650	10237
13201	5686	2066
13207	27520	6827
13211	18853	525
13215	194160	90889
13217	109541	3913
13219	39272	20086
