a;b
22;36,6
26,6;44,98
25,6;35,66
18,9;35,98
29,9;45,24
35,9;49,48
35,6;56,12
28,7;37,04
25,3;32,7
27,5;39,2
29,6;64,32
23,9;55,48
30,6;42,16
22,5;53,1
25,1;62,7
29,5;48,54
21;53,64
21,4;19,02
26,9;73,84
37,3;37,1
38,2;59,92
24,6;46,12
31,5;67,72
19,6;36,6
25,2;35,9
27,4;54,54
27,4;61,46
21,8;32,64
32;68,98
34,5;47,38
25,3;42,94
32,4;45,56
26,5;45,72
25,8;65,12
24,1;53,44
22,7;37,78
29,2;58,56
26,4;52,5
30,5;64,24
24,3;36,44
25,1;53,64
23;31,74
25,5;35,96
28,5;65,54
33,1;69,06
34;50,46
31;64,36
17,3;56,06
25,7;53,96
23,8;54,72
