Columna1;Columna2;Columna3;Column4;Column5;Column6
Location;White;Black;Hispanic;Asian;American Indian/Alaska Native
Alabama;0.662;0.265;0.040;0.012;<.01
Alaska;0.615;0.032;0.067;0.069;0.140
Arizona;0.558;0.040;0.307;0.031;0.041
Arkansas;0.731;0.155;0.071;0.014;0.010
California;0.378;0.054;0.389;0.141;<.01
Colorado;0.686;0.039;0.214;0.030;0.010
Connecticut;0.680;0.099;0.155;0.043;<.01
Delaware;0.632;0.209;0.091;0.039;<.01
District of Columbia;0.355;0.472;0.107;0.037;N/A
Florida;0.552;0.153;0.247;0.027;<.01
Georgia;0.540;0.307;0.093;0.038;<.01
Hawaii;0.217;0.015;0.101;0.369;<.01
Idaho;0.828;0.010;0.119;0.011;0.011
Illinois;0.619;0.139;0.170;0.052;<.01
Indiana;0.801;0.090;0.066;0.020;<.01
Iowa;0.869;0.031;0.056;0.022;<.01
Kansas;0.765;0.057;0.116;0.029;0.010
Kentucky;0.855;0.078;0.033;0.014;<.01
Louisiana;0.594;0.318;0.049;0.017;0.010
Maine;0.937;0.011;0.015;0.011;0.010
Maryland;0.519;0.288;0.095;0.064;<.01
Massachusetts;0.731;0.067;0.111;0.063;<.01
Michigan;0.757;0.136;0.049;0.029;<.01
Minnesota;0.811;0.057;0.051;0.048;0.010
Mississippi;0.573;0.377;0.027;0.010;<.01
Missouri;0.802;0.113;0.039;0.019;<.01
Montana;0.869;<.01;0.036;0.010;0.062
Nebraska;0.802;0.048;0.104;0.020;0.010
Nevada;0.506;0.081;0.282;0.080;0.010
New Hampshire;0.913;0.011;0.033;0.025;<.01
New Jersey;0.562;0.124;0.197;0.095;<.01
New Mexico;0.383;0.017;0.482;0.014;0.086
New York;0.559;0.142;0.189;0.085;<.01
North Carolina;0.638;0.212;0.091;0.027;0.011
North Dakota;0.862;0.014;0.034;0.012;0.049
Ohio;0.799;0.120;0.035;0.020;<.01
Oklahoma;0.667;0.069;0.101;0.020;0.069
Oregon;0.767;0.017;0.127;0.040;0.010
Pennsylvania;0.776;0.102;0.067;0.033;<.01
Rhode Island;0.733;0.052;0.146;0.033;<.01
South Carolina;0.640;0.270;0.053;0.014;<.01
South Dakota;0.829;0.014;0.034;0.012;0.075
Tennessee;0.745;0.166;0.051;0.016;<.01
Texas;0.430;0.115;0.391;0.045;<.01
Utah;0.790;0.011;0.137;0.024;0.010
Vermont;0.936;0.012;0.015;0.013;N/A
Virginia;0.628;0.185;0.090;0.064;<.01
Washington;0.699;0.035;0.123;0.079;0.011
West Virginia;0.928;0.034;0.013;0.010;N/A
Wisconsin;0.821;0.060;0.066;0.027;0.010
Wyoming;0.843;0.010;0.099;0.010;0.019
;;;;;
;;;;;
