"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2021867,"June 1, 2021",Tennessee,Franklin,"Champions Cir and S Royal Oaks Blvd",0,0,N/A
2021624,"June 1, 2021",Illinois,Chicago,"4700 block of S Ada St",0,3,N/A
2021809,"June 1, 2021",Illinois,Chicago,"2200 block of W Diversey Pkwy",0,1,N/A
2021803,"June 1, 2021","South Carolina",Marion,"SC-576 and SC-41 ALT",1,0,N/A
2021772,"June 1, 2021",Texas,"San Antonio","Sahara Dr",0,1,N/A
2021798,"June 1, 2021","South Carolina",Conway,"2905 Church St",1,0,N/A
2021774,"June 1, 2021",Maryland,Baltimore,"1200 block of N Eden St",0,1,N/A
2021761,"June 1, 2021",Georgia,Griffin,"N Hill St and Northside Dr",0,0,N/A
2021747,"June 1, 2021",Georgia,Columbus,"Bismark Dr",1,0,N/A
2021743,"June 1, 2021","District of Columbia",Washington,"Polk St NE and Olive St NE",0,1,N/A
2021740,"June 1, 2021","District of Columbia",Washington,"1400 block of 41st St SE",0,1,N/A
2021720,"June 1, 2021",Georgia,Savannah,"1900 Westlake Ave",0,1,N/A
2021599,"June 1, 2021",Illinois,Chicago,"9102 S Wentworth Ave",1,0,N/A
2021558,"June 1, 2021",Michigan,Detroit,"1900 block of Woodbridge St",1,0,N/A
2021701,"June 1, 2021",Virginia,Hampton,"W Pembroke Ave and N Back River Rd",0,1,N/A
2021692,"June 1, 2021",Georgia,Evans,"542 Pheasant Run Dr",2,0,N/A
2021674,"June 1, 2021",Virginia,Lynchburg,"3400 block of Fort Ave",1,1,N/A
2021668,"June 1, 2021",Michigan,Pontiac,"Earlmoor St",0,1,N/A
2021660,"June 1, 2021",Georgia,Atlanta,"600 block of Hutchins Rd",0,1,N/A
2021655,"June 1, 2021",Georgia,Atlanta,"1030 Crown Pointe Pkwy",0,1,N/A
2021643,"June 1, 2021",Tennessee,Nashville,"1210 Murfreesboro Pike",1,0,N/A
2021633,"June 1, 2021",California,Fresno,"Van Ness Ave and Woodward Ave",1,0,N/A
2021586,"June 1, 2021",California,"Santa Clarita (Agua Dulce)","8710 Sierra Hwy",1,1,N/A
2021606,"June 1, 2021",Tennessee,Memphis,"Madison Ave and N Claybrook St",0,1,N/A
2021563,"June 1, 2021",Texas,"Fort Worth","2900 block of Jonah Dr",3,0,N/A
2021591,"June 1, 2021",Illinois,Chicago,"S Lowe Ave and W 122nd St",0,1,N/A
2021546,"June 1, 2021",Louisiana,"New Orleans","3700 block of Garden Oaks Dr",0,1,N/A
2021544,"June 1, 2021","New York",Brooklyn,"Hemlock St and Pitkin Ave",0,1,N/A
